,city,city_lat,city_long
140,Belford Roxo,-22.7667284,-43.4033603
141,Posto Fiscal Rolim de Moura,,
142,Petrolina,-9.3817334,-40.4968875
143,Janauba,-1.6345,-45.4729583
144,Januaria,-15.4875,-44.361111
145,Teresina,-5.0896403,-42.809588
146,Feira de Santana,-12.2578934,-38.9598047
147,Guapiacu,-20.79663,-49.2253917
148,Araripina,-7.5768582,-40.5038509
149,Penedo,-10.287422,-36.581905
150,Juiz de Fora,-21.7609533,-43.3501129
151,Contagem,-19.9132749,-44.0840953
152,Volta Redonda,-22.5225497,-44.1040128
153,Campinas,-22.90556,-47.06083
154,Nova Soure,-11.2409332,-38.4774123
155,Sorocaba,-23.501667,-47.458056
156,Mossoro,-5.1904332,-37.3443872
157,Canoas,-29.9216045,-51.1799525
158,Escada,-8.3594071,-35.2232683
159,Taperoa,-13.537334,-39.0986475
160,Jardim (2),-16.0150694,-47.3805112
161,Poa,-30.0324999,-51.2303767
162,Afogados da Ingazeira,-7.750429,-37.6356375
163,Piritiba,-11.7320314,-40.5561536
164,Itamaraju,-17.0363103,-39.527994
165,Paraiso,18.3623055,-93.1883586891972
166,Barueri,-23.5112184,-46.8764612
167,Palmeira dos Indios,-9.4112877,-36.6293905
168,Amorinopolis,-16.6211308,-51.0949921
169,Campo Verde,-24.1647866,-65.2919079
170,Araruama,-22.8733203,-42.3428897
171,Presidente Prudente,-22.1225167,-51.3882528
172,Denver,39.7391428,-104.984696
173,Itupiranga,-5.1337224,-49.3321988
174,Matozinhos,-19.5576547,-44.0816035
175,Oeste,39.3315979,-9.17863928610299
176,Blumenau,-26.9195567,-49.0658025
177,Brusque,-27.0964628,-48.9136323
178,Bom Jardim de Minas,-21.9476466,-44.1906033
179,Patos de Minas,-18.6041453,-46.5096698
180,Cotia,-23.603889,-46.918889
181,Maceió,-9.6476843,-35.7339264
182,Curvelo,-18.7571926,-44.4305993
183,São Caetano do Sul,-23.6195923,-46.5688323
184,Patrocinio,-18.9408294,-46.9926624
185,Itupeva,-23.1531055,-47.0580347
186,Imperatriz,-5.5269279,-47.478115
187,Vitória da Conquista,-14.8567487,-40.8414804
188,Paranaguá,-25.5121904,-48.5251854
189,Borda da Mata,-22.274167,-46.165278
190,Barra Mansa,-22.5394843,-44.1735129
191,Independencia,16.21357175,-91.9054476251586
192,Macaiba,-5.8561372,-35.3523774
193,Conselheiro Lafaiete,-20.6596107,-43.785743
194,Franco da Rocha,-23.3328038,-46.724446
195,Divinópolis,-20.1434559,-44.89125
196,Santo Antonio do Amparo,-20.9413389,-44.9187397
197,Ipiau,-14.1318211,-39.7373177
198,Cacapava,-23.099204,-45.707645
199,Palhoca,-27.6458891,-48.669286
200,Araucária,-25.5861107,-49.4051209
201,Brasilandia,-21.254428,-52.036519
202,Arapiraca,-9.754866,-36.661471
203,Guaribas,-9.3957375,-43.6877965
204,Tucano,-10.963517,-38.785957
205,Valparaiso,-33.0458456,-71.6196749
206,Porto,41.1494512,-8.6107884
207,Campos dos Goytacazes,-21.7558619,-41.3326895
208,Ananindeua,-1.374035,-48.4016623
209,Garanhuns,-8.8905889,-36.4930896
210,Itaborai,-22.7496231,-42.8557428
211,Ourinhos,-22.9777918,-49.868204
212,Piracicaba,-22.72528,-47.64917
213,Três Lagoas,-20.7866799,-51.7061247
214,Andradina,-20.894761,-51.378568
215,Sete Lagoas,-19.466111,-44.246944
216,Praia Grande,-24.005833,-46.402778
217,Alem Paraiba,-21.8760576,-42.6810473
218,Carmo,-28.745497,-50.7528931629562
219,Itabuna,-14.7869879,-39.2788778
220,Olindina,-11.3601309,-38.3269571
221,Porto Esperidiao,-15.8521665,-58.4693093
222,Mairiporã,-23.3186111,-46.5866667
223,Santo Antonio de Padua,-21.5389992,-42.1799978
224,Ribeirão das Neves,-19.7672898,-44.0875436
225,Carangola,-20.733056,-42.029445
226,Cupira,-8.6053148,-35.9530366
227,Armacao de Buzios,37.1002625,-8.35375190242837
228,Arraial do Cabo,-22.9662839,-42.024427
229,Cabo Frio,-22.8804369,-42.0189227
230,Cascavel,-24.9554996,-53.4560544
231,Bezerros,-8.2372132,-35.7558262
232,Mato Verde,-11.6133499,-41.6242726
233,Dourados,-22.2206145,-54.812208
234,Nossa Senhora das Dores,-10.4927502,-37.1931675
235,Juazeiro,-9.4336959,-40.5068201
236,Poços de Caldas,-21.790833,-46.565556
237,Iguaraci,-7.8352247,-37.5190066
238,São Carlos,-22.0183367,-47.890932
239,Pedreira,-22.741347,-46.894846
240,Arroio do Meio,-29.4020392,-51.9444993
241,Concordia,-27.2314098,-52.0229804
242,Serrita,-7.9476953,-39.2957383
243,Abreu e Lima,-7.900719,-34.898389
244,Seropedica,-22.7438887,-43.6991998
245,Congonhas,-20.5015168,-43.8564586
246,Ouro Branco,-9.11450275,-37.3657752424308
247,Agua Branca,-5.8915913,-42.6343579
248,Sao Sebastiao,38.52734715,-8.85704212519293
249,Almirante Tamandare,-25.3133048,-49.2997838
250,Juquitiba,-23.932346,-47.0714217
251,Rio Verde de Mato Grosso,-18.78477075,-54.9739077727071
252,São José dos Pinhais,-25.533816,-49.2072163
253,Cruz,27.9010043,-105.052485104372
254,Sertanopolis,-23.0600434,-51.0373544
