,city,city_lat,city_long
134,Sapucaia,-21.9946569,-42.9137975
135,Sao Goncalo do Para,-19.982778,-44.859167
136,Ituverava,-20.3366604,-47.7797924
137,Araçatuba,-21.207992,-50.4390225
138,Caxias do Sul,-29.168479600000005,-51.1793861
139,Santa Maria,-29.686051199999998,-53.8069214
140,Belford Roxo,-22.766728399999998,-43.403360299999996
142,Petrolina,-9.3817334,-40.4968875
143,Janauba,-1.6345,-45.4729583
144,Januaria,-15.4875,-44.361111
145,Teresina,-5.0896403,-42.809588
146,Feira de Santana,-12.2578934,-38.9598047
147,Guapiacu,-20.79663,-49.2253917
148,Araripina,-7.5768581999999975,-40.503850899999996
149,Penedo,-10.287422,-36.581905
150,Juiz de Fora,-21.7609533,-43.3501129
151,Contagem,-19.913274899999998,-44.0840953
152,Volta Redonda,-22.5225497,-44.1040128
153,Campinas,-22.90556,-47.060829999999996
154,Nova Soure,-11.240933199999999,-38.4774123
155,Sorocaba,-23.501667,-47.458056
156,Mossoro,-5.1904332,-37.3443872
157,Canoas,-29.921604499999997,-51.1799525
158,Escada,-8.3594071,-35.223268299999994
159,Taperoa,-13.537334,-39.0986475
160,Jardim (2),-16.0150694,-47.3805112
161,Poa,-30.0324999,-51.23037670000001
162,Afogados da Ingazeira,-7.750429,-37.6356375
163,Piritiba,-11.7320314,-40.5561536
164,Itamaraju,-17.0363103,-39.527994
165,Paraiso,18.362305499999998,-93.1883586891972
166,Barueri,-23.511218399999997,-46.8764612
167,Palmeira dos Indios,-9.411287699999999,-36.6293905
168,Amorinopolis,-16.621130800000003,-51.094992100000006
169,Campo Verde,-24.1647866,-65.2919079
170,Araruama,-22.8733203,-42.34288970000001
171,Presidente Prudente,-22.1225167,-51.3882528
172,Denver,39.739142799999996,-104.984696
173,Itupiranga,-5.1337224,-49.33219879999999
174,Matozinhos,-19.5576547,-44.0816035
175,Oeste,39.3315979,-9.17863928610299
176,Blumenau,-26.919556699999998,-49.065802500000004
177,Brusque,-27.0964628,-48.913632299999996
178,Bom Jardim de Minas,-21.947646600000002,-44.1906033
179,Patos de Minas,-18.604145300000006,-46.5096698
180,Cotia,-23.603889000000002,-46.918889
181,Maceió,-9.647684300000002,-35.73392639999999
182,Curvelo,-18.7571926,-44.4305993
183,São Caetano do Sul,-23.6195923,-46.5688323
184,Patrocinio,-18.9408294,-46.9926624
185,Itupeva,-23.1531055,-47.0580347
186,Imperatriz,-5.5269279000000004,-47.478115
187,Vitória da Conquista,-14.856748699999999,-40.8414804
188,Paranaguá,-25.512190399999998,-48.5251854
189,Borda da Mata,-22.274167000000002,-46.165278
190,Barra Mansa,-22.539484299999998,-44.1735129
191,Independencia,16.21357175,-91.9054476251586
192,Macaiba,-5.8561372,-35.35237739999999
193,Conselheiro Lafaiete,-20.659610699999998,-43.785743
194,Franco da Rocha,-23.3328038,-46.724446
195,Divinópolis,-20.1434559,-44.89125
196,Santo Antonio do Amparo,-20.941338899999998,-44.9187397
197,Ipiau,-14.131821100000002,-39.73731770000001
198,Cacapava,-23.099204,-45.707645
199,Palhoca,-27.6458891,-48.669286
200,Araucária,-25.5861107,-49.4051209
201,Brasilandia,-21.254428,-52.036519
202,Arapiraca,-9.754866,-36.661471
203,Guaribas,-9.3957375,-43.68779650000001
204,Tucano,-10.963517,-38.785957
205,Valparaiso,-33.0458456,-71.6196749
206,Porto,41.1494512,-8.6107884
207,Campos dos Goytacazes,-21.7558619,-41.3326895
208,Ananindeua,-1.3740350000000001,-48.4016623
209,Garanhuns,-8.890588900000003,-36.4930896
210,Itaborai,-22.749623100000004,-42.855742799999994
211,Ourinhos,-22.977791800000002,-49.868204
212,Piracicaba,-22.725279999999998,-47.64917
213,Três Lagoas,-20.7866799,-51.706124700000004
214,Andradina,-20.894761,-51.378568
215,Sete Lagoas,-19.466110999999998,-44.246944
216,Praia Grande,-24.005833,-46.40277800000001
217,Alem Paraiba,-21.8760576,-42.6810473
218,Carmo,-28.745496999999997,-50.7528931629562
219,Itabuna,-14.786987900000002,-39.2788778
220,Olindina,-11.360130900000001,-38.3269571
221,Porto Esperidiao,-15.852166500000001,-58.4693093
222,Mairiporã,-23.318611100000002,-46.5866667
223,Santo Antonio de Padua,-21.5389992,-42.179997799999995
224,Ribeirão das Neves,-19.7672898,-44.0875436
225,Carangola,-20.733056,-42.029445
226,Cupira,-8.6053148,-35.95303660000001
227,Armacao de Buzios,37.1002625,-8.35375190242837
228,Arraial do Cabo,-22.966283899999997,-42.024427
229,Cabo Frio,-22.8804369,-42.01892270000001
230,Cascavel,-24.955499600000003,-53.4560544
231,Bezerros,-8.2372132,-35.7558262
232,Mato Verde,-11.613349900000001,-41.62427260000001
233,Dourados,-22.2206145,-54.812208
234,Nossa Senhora das Dores,-10.4927502,-37.1931675
235,Juazeiro,-9.4336959,-40.5068201
236,Poços de Caldas,-21.790833,-46.565556
237,Iguaraci,-7.8352247,-37.5190066
238,São Carlos,-22.0183367,-47.890932
239,Pedreira,-22.741347,-46.894846
240,Arroio do Meio,-29.4020392,-51.9444993
241,Concordia,-27.2314098,-52.0229804
242,Serrita,-7.947695299999999,-39.2957383
243,Abreu e Lima,-7.9007190000000005,-34.898389
244,Seropedica,-22.7438887,-43.699199799999995
245,Congonhas,-20.5015168,-43.8564586
246,Ouro Branco,-9.11450275,-37.3657752424308
247,Agua Branca,-5.8915913,-42.6343579
248,Sao Sebastiao,38.52734715,-8.85704212519293
249,Almirante Tamandare,-25.3133048,-49.2997838
250,Juquitiba,-23.932346,-47.0714217
251,Rio Verde de Mato Grosso,-18.78477075,-54.9739077727071
252,São José dos Pinhais,-25.533816,-49.20721629999999
253,Cruz,27.9010043,-105.05248510437201
254,Sertanopolis,-23.060043399999998,-51.0373544
255,Ibirite,-20.021425100000002,-44.0621506
256,Parintins,-2.6344567000000003,-56.73193240000001
257,Nossa Senhora do Socorro,-10.855311500000001,-37.126486299999996
258,Malacacheta,-17.843055,-42.077778
259,Marataizes,-21.0443673,-40.827220399999995
260,Panama,8.3096067,-81.30662459999998
261,Jandira,-23.5282044,-46.9019554
262,Barretos,-20.5531437,-48.569750899999995
263,Macapá,0.046069900000000004,-51.06932379999999
264,Guaianases,-23.555665,-46.4093288154922
265,Taubate,-23.031448,-45.5612792
266,Sao Jose,37.3361905,-121.89058329999999
267,Rio Largo,44.7787868,7.874019500000001
268,Paraguacu,-21.547222,-45.7375
269,Lavras,-21.242551199999998,-44.9991978
270,Varginha,-21.5565914,-45.434067399999996
271,Ferraz de Vasconcelos,-23.541056,-46.37097
272,Picos,-7.0823544000000025,-41.4685053
273,Santa Cruz das Palmeiras,-21.862,-47.255562111801204
274,Guanambi,-14.223066000000001,-42.779942999999996
275,Capim Grosso,-11.3793228,-40.0112095
276,Montes Claros,-16.7273538,-43.87176760000001
277,Osorio,-29.8890328,-50.2730224
278,Macuco,-21.9849747,-42.2539464
279,Caieiras,-23.3644621,-46.7484765
280,Cachoeiro de Itapemirim,-20.848084,-41.111290000000004
281,Sao Vicente,16.8489552,-24.97238833807361
282,Taruma,-22.7474736,-50.5783374
283,Encruzilhada,-15.532211300000002,-40.9072488
284,Embu,-0.53596265,37.6653019690204
285,Iguatu,-6.361934,-39.29722329999999
286,Uberaba,-19.750833,-47.936665999999995
287,Sabara,-19.890037200000002,-43.8107916
288,Santarém,39.23636370000001,-8.686708099999999
289,Anápolis,-16.3332828,-48.952575599999996
290,Tapirai,-23.9638345,-47.5067136
291,Caraguatatuba,-23.620279999999998,-45.413059999999994
292,Vespasiano,-19.694095800000003,-43.9186521
293,Tres Rios,-22.1167884,-43.2087226
294,Jiquirica,-13.255353,-39.5693044
295,Arraias,-12.9287788,-46.9437231
296,Niquelandia,-14.4648655,-48.4572244
297,Simoes,-7.5970469,-40.817600299999995
298,Itaperuna,-21.2048,-41.888009999999994
299,Dois Irmaos,-29.58356,-51.089776
300,Jardinopolis,-21.025512600000006,-47.7706807
301,Timon,-5.102332499999998,-42.8449518
302,Diadema,-23.681347,-46.62052
303,Jaguaribe,-5.8838496,-38.6246986
304,Podesta,45.8864585,11.5086603
305,Tobias Barreto,-11.188137900000001,-38.003184499999996
306,Massape,-3.5239057999999996,-40.3423107
307,Pinhais,-25.442948899999998,-49.19267
308,Capanema,-25.6704878,-53.808303599999995
309,Alto Parana,-25.5,-54.833332999999996
310,Sao Jose do Inhacora,-27.736085,-54.1316582091605
311,Alagoinhas,-12.133526,-38.420772
312,Santana,18.4538553,-66.6632959188745
313,Paracambi,-22.6109158,-43.7096912
314,Foz do Iguaçu,-25.5401479,-54.5858139
315,Ceilandia,-15.8173391,-48.1045766
316,Cuite,-6.4855072,-36.1478606
317,Itapira,-22.436111,-46.821667
318,Itajaí,-26.911787899999997,-48.6669852
319,Panambi,-28.2898542,-53.501822
320,Governador Valadares,-18.8539497,-41.9458753
321,Tijucas,-27.239403999999997,-48.6353696
322,Amsterdam,52.3745403,4.89797550561798
323,Mariana,-20.3781468,-43.4174862
324,Ivoti,-29.593405699999998,-51.1599403
325,Parnamirim,-5.9153334000000015,-35.26799129999999
326,Eunapolis,-16.372241199999998,-39.575703999999995
327,Matao,-21.602603,-48.36452070000001
328,Aracuai,-16.8484451,-42.0661868
329,Eusebio,-3.8889837999999997,-38.4546585
330,Bauru,-22.321810199999998,-49.070586299999995
331,Cajazeiras,-6.8897849,-38.557038899999995
332,Caicara,-27.2750478,-53.431005299999995
333,Vila Muriqui,-22.920887,-43.947086999999996
334,Santa Cruz Cabralia,-16.281555599999994,-39.0239196
335,Candeias,-12.6693806,-38.54064620000001
336,New York,40.7308619,-73.9871558
337,Frecheirinha,-3.755572,-40.818019
338,Sinop,42.0266698,35.1506765
339,Mantena,-18.7809937,-40.9808279
340,Lins,-21.674187300000003,-49.75189320000001
341,Francisco Morato,-23.281730800000002,-46.744899600000004
342,Porto Belo,-27.154241499999998,-48.5424395
343,Mendes Pimentel,-18.6611641,-41.4020716
344,Guaratingueta,-22.805783899999998,-45.19089260000001
345,Votorantim,-23.5466667,-47.4377778
346,Cianorte,-23.662035999999997,-52.61039889999999
347,Pongai,-21.7379814,-49.358444899999995
348,Mata de Sao Joao,-12.530685,-38.300898
349,Uruguaiana,-29.7655123,-57.0829466
350,Teófilo Otoni,-17.8579267,-41.5081533
351,São José dos Campos,-23.180501100000004,-45.887296899999996
352,Braganca Paulista,-22.9520235,-46.5418586
353,Para de Minas,-19.859963699999998,-44.6075313
354,Petrópolis,-22.519963,-43.192613
355,Colorado,38.7251776,-105.60771670000001
356,Sao Joaquim da Barra,-20.581789899999997,-47.8606374
357,Fremont,37.54826970000001,-121.98857190000001
358,Jaru,-10.431826,-62.47876899999999
359,Manhumirim,-20.3599141,-41.9554606
360,Cachoeirinha,-29.9493353,-51.0898927
361,Araxá,-19.5928536,-46.940241
362,Sumare,-22.8219447,-47.266936
363,Presidente Bernardes,-20.7685467,-43.1877237
364,Tremembe,-22.95714,-45.547526
365,Rodeio,-26.9233304,-49.3685354
366,Ijui,-28.388047999999998,-53.919959999999996
367,Uba,-21.12,-42.942777
368,Grand Rapids,42.96324050000001,-85.66786390000001
369,Rio Bonito,-22.7108378,-42.6271864
370,Turmalina,-20.0530658,-50.47632120000001
371,Pomerode,-26.7356218,-49.1770095
372,Ituporanga,-27.409621899999998,-49.6014812
373,Sao Roque,40.877342,-8.471590699999998
374,Paranavai,-23.08165,-52.461724
375,Atibaia,-23.1177393,-46.5547861
376,Brejo do Cruz,-6.3505644,-37.4943763
377,Araguaína,-7.193241,-48.2018597
378,Itapecerica,-20.472777999999998,-45.125556
379,Salgado,-11.028244500000001,-37.478280299999994
380,São João del Rei,-21.1335755,-44.2588086
381,Franca,46.603353999999996,1.8883334999999999
382,Ibitirama,-20.539374,-41.664695
383,Ipatinga,-19.4777807,-42.5270802
384,Floresta Azul,-14.860223800000002,-39.656138399999996
385,Ouro Preto,-20.385169199999996,-43.503634399999996
386,Aracruz,-19.8245218,-40.2735025
387,Alfenas,-21.4297405,-45.9479419
388,Sao Joao do Caiua,-22.8544849,-52.3371114
389,Taguatinga,-12.402403999999999,-46.4365769
390,Pelotas,-31.769973600000004,-52.341016100000004
391,Embu Guacu,-23.8317997,-46.8156204
392,Porto Franco,-6.34149,-47.396188
393,Piratininga,-22.4136363,-49.1351479
394,Mineiros,-17.565387899999998,-52.5536721
395,Córdoba,37.884977899999996,-4.776013099999999
396,Aguas da Prata,-21.9365,-46.6961333333333
397,Rio Claro,-22.410010800000002,-47.560393299999994
398,Santana de Parnaiba,-23.443889000000002,-46.91777800000001
